,idind_m,idind_c,gender,s57,cprel,west_dob_y,moon_dob_y,s56
109,111303017004.0,111303017005.0,2.0,,,2005.0,2005.0,
110,111303018004.0,111303018005.0,2.0,,,2007.0,2007.0,
111,111303020002.0,111303020801.0,1.0,,,1994.0,,
112,111304001002.0,111304001003.0,2.0,,,1999.0,1999.0,
113,111304005002.0,111304005003.0,1.0,,,2001.0,2001.0,
114,111304009002.0,111304009003.0,1.0,,,2000.0,2000.0,
115,111304011002.0,111304011003.0,2.0,,,2002.0,2002.0,
116,111304012002.0,111304012003.0,1.0,,,2008.0,2008.0,
117,111304015002.0,111304015003.0,2.0,,,2002.0,2001.0,
118,111304016002.0,111304016003.0,2.0,,,2007.0,2007.0,
119,111304019002.0,111304019003.0,2.0,,,2002.0,2002.0,
120,111304020001.0,111304020003.0,2.0,,,2000.0,2000.0,
121,111401002002.0,111401002003.0,2.0,,,2010.0,2010.0,
122,111401005002.0,111401005801.0,2.0,,,1984.0,1984.0,
123,111401006002.0,111401006003.0,1.0,,,2011.0,2011.0,
124,111401007002.0,111401007003.0,2.0,,,2009.0,2009.0,
125,111401008002.0,111401008003.0,2.0,,,2010.0,2010.0,
126,111401009002.0,111401009003.0,2.0,,,2011.0,2011.0,
127,111401010002.0,111401010003.0,1.0,,,2011.0,2011.0,
128,111401014002.0,111401014003.0,1.0,,,2010.0,2010.0,
129,111401015002.0,111401015003.0,1.0,,,2009.0,2009.0,
130,111402002002.0,111402002003.0,1.0,,,1999.0,1999.0,
131,111402003001.0,111402003003.0,1.0,,,2007.0,2007.0,
132,111402004002.0,111402004003.0,1.0,,,2005.0,2005.0,
133,111402005001.0,111402005003.0,2.0,,,1994.0,1994.0,
134,111402007002.0,111402007003.0,2.0,,,1998.0,1997.0,
135,111402009001.0,111402009003.0,2.0,,,2010.0,2010.0,
136,111402011002.0,111402011003.0,1.0,,,2003.0,2002.0,
137,111402012002.0,111402012003.0,1.0,,,1990.0,1990.0,
138,111402013002.0,111402013003.0,2.0,,,2007.0,2007.0,
139,111402017002.0,111402017003.0,1.0,,,1998.0,1997.0,
140,111402018002.0,111402018003.0,1.0,,,2011.0,2011.0,
141,111402019001.0,111402019003.0,1.0,,,2002.0,2002.0,
142,111402020001.0,111402020003.0,1.0,,,1995.0,1995.0,
143,111402162002.0,111402162003.0,2.0,,,2013.0,2013.0,
144,111402163001.0,111402163801.0,1.0,,,1997.0,,
145,111402164001.0,111402164002.0,2.0,,,2000.0,2000.0,
146,111402165002.0,111402165003.0,1.0,,,2009.0,2009.0,
147,111403001001.0,111403001003.0,1.0,,,1999.0,1999.0,
148,111403002002.0,111403002003.0,1.0,,,1997.0,1997.0,
