,idind,f2a,f4a,f4b,f4c,f5,f6,f7,f8,f9,f10,wave,f4d,f4,hhid,line,commid,t1,t2,t3,t4,t5
1542,231104013002.0,1.0,4.0,7.0,3.0,2.0,,,,,0.0,2009.0,,,231104013.0,2.0,231104.0,23.0,1.0,1.0,4.0,13.0
1551,231104017001.0,1.0,12.0,7.0,8.0,2.0,,,,,1.0,2009.0,,,231104017.0,1.0,231104.0,23.0,1.0,1.0,4.0,17.0
1577,231204001001.0,1.0,6.0,7.0,5.0,2.0,,,,,1.0,2009.0,,,231204001.0,1.0,231204.0,23.0,1.0,2.0,4.0,1.0
1585,231204005001.0,1.0,6.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,231204005.0,1.0,231204.0,23.0,1.0,2.0,4.0,5.0
1587,231204005002.0,1.0,6.0,7.0,4.0,2.0,,,,,0.0,2009.0,,,231204005.0,2.0,231204.0,23.0,1.0,2.0,4.0,5.0
1590,231204006002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,231204006.0,2.0,231204.0,23.0,1.0,2.0,4.0,6.0
1597,231204010002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,231204010.0,2.0,231204.0,23.0,1.0,2.0,4.0,10.0
1599,231204011002.0,1.0,5.0,5.0,10.0,2.0,,,,,1.0,2009.0,,,231204011.0,2.0,231204.0,23.0,1.0,2.0,4.0,11.0
1602,231204012001.0,1.0,12.0,7.0,5.0,2.0,,,,,1.0,2009.0,,,231204012.0,1.0,231204.0,23.0,1.0,2.0,4.0,12.0
1603,231204012002.0,1.0,12.0,7.0,5.0,2.0,,,,,1.0,2009.0,,,231204012.0,2.0,231204.0,23.0,1.0,2.0,4.0,12.0
1607,231204014002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,231204014.0,2.0,231204.0,23.0,1.0,2.0,4.0,14.0
1609,231204018121.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,231204018.0,121.0,231204.0,23.0,1.0,2.0,4.0,18.0
1613,231204020002.0,1.0,6.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,231204020.0,2.0,231204.0,23.0,1.0,2.0,4.0,20.0
1615,231204121001.0,1.0,10.0,7.0,12.0,2.0,,,,,1.0,2009.0,,,231204121.0,1.0,231204.0,23.0,1.0,2.0,4.0,121.0
1616,231204121002.0,1.0,12.0,7.0,14.0,2.0,,,,,0.0,2009.0,,,231204121.0,2.0,231204.0,23.0,1.0,2.0,4.0,121.0
1625,232102002001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232102002.0,1.0,232102.0,23.0,2.0,1.0,2.0,2.0
1630,232102002002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232102002.0,2.0,232102.0,23.0,2.0,1.0,2.0,2.0
1670,232102016001.0,1.0,5.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232102016.0,1.0,232102.0,23.0,2.0,1.0,2.0,16.0
1672,232102016002.0,1.0,5.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232102016.0,2.0,232102.0,23.0,2.0,1.0,2.0,16.0
1685,232102020001.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,232102020.0,1.0,232102.0,23.0,2.0,1.0,2.0,20.0
1688,232102020002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232102020.0,2.0,232102.0,23.0,2.0,1.0,2.0,20.0
1734,232103064001.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,232103064.0,1.0,232103.0,23.0,2.0,1.0,3.0,64.0
1758,232104008002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232104008.0,2.0,232104.0,23.0,2.0,1.0,4.0,8.0
1761,232104013001.0,1.0,12.0,7.0,6.0,2.0,,,,,1.0,2009.0,,,232104013.0,1.0,232104.0,23.0,2.0,1.0,4.0,13.0
1766,232104013002.0,1.0,12.0,7.0,6.0,2.0,,,,,0.0,2009.0,,,232104013.0,2.0,232104.0,23.0,2.0,1.0,4.0,13.0
1770,232104014002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232104014.0,2.0,232104.0,23.0,2.0,1.0,4.0,14.0
1772,232104015001.0,1.0,12.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,232104015.0,1.0,232104.0,23.0,2.0,1.0,4.0,15.0
1774,232104015002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232104015.0,2.0,232104.0,23.0,2.0,1.0,4.0,15.0
1781,232104061002.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,232104061.0,2.0,232104.0,23.0,2.0,1.0,4.0,61.0
1797,232104085002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232104085.0,2.0,232104.0,23.0,2.0,1.0,4.0,85.0
1811,232202004001.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232202004.0,1.0,232202.0,23.0,2.0,2.0,2.0,4.0
1813,232202004002.0,1.0,7.0,3.0,2.0,2.0,,,,,0.0,2009.0,,,232202004.0,2.0,232202.0,23.0,2.0,2.0,2.0,4.0
1819,232202007002.0,1.0,12.0,7.0,6.0,2.0,,,,,1.0,2009.0,,,232202007.0,2.0,232202.0,23.0,2.0,2.0,2.0,7.0
1823,232202008001.0,1.0,12.0,7.0,3.0,2.0,,,,,0.0,2009.0,,,232202008.0,1.0,232202.0,23.0,2.0,2.0,2.0,8.0
1826,232202008002.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,232202008.0,2.0,232202.0,23.0,2.0,2.0,2.0,8.0
1847,232202016001.0,1.0,12.0,7.0,4.0,2.0,,,,,1.0,2009.0,,,232202016.0,1.0,232202.0,23.0,2.0,2.0,2.0,16.0
1851,232202016002.0,1.0,12.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,232202016.0,2.0,232202.0,23.0,2.0,2.0,2.0,16.0
1879,232202104001.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232202104.0,1.0,232202.0,23.0,2.0,2.0,2.0,104.0
1891,232203001002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232203001.0,2.0,232203.0,23.0,2.0,2.0,3.0,1.0
1894,232203003002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232203003.0,2.0,232203.0,23.0,2.0,2.0,3.0,3.0
1896,232203005002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232203005.0,2.0,232203.0,23.0,2.0,2.0,3.0,5.0
1899,232203011002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232203011.0,2.0,232203.0,23.0,2.0,2.0,3.0,11.0
1914,232203020002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232203020.0,2.0,232203.0,23.0,2.0,2.0,3.0,20.0
1915,232203020121.0,1.0,12.0,7.0,3.0,2.0,,,,,0.0,2009.0,,,232203020.0,121.0,232203.0,23.0,2.0,2.0,3.0,20.0
1916,232203122002.0,1.0,9.0,4.0,3.0,2.0,,,,,1.0,2009.0,,,232203122.0,2.0,232203.0,23.0,2.0,2.0,3.0,122.0
1918,232203123002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232203123.0,2.0,232203.0,23.0,2.0,2.0,3.0,123.0
1928,232204004001.0,1.0,12.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,232204004.0,1.0,232204.0,23.0,2.0,2.0,4.0,4.0
1932,232204004002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232204004.0,2.0,232204.0,23.0,2.0,2.0,4.0,4.0
1951,232204016001.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,232204016.0,1.0,232204.0,23.0,2.0,2.0,4.0,16.0
1954,232204016002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232204016.0,2.0,232204.0,23.0,2.0,2.0,4.0,16.0
1958,232204018002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232204018.0,2.0,232204.0,23.0,2.0,2.0,4.0,18.0
1967,232204088001.0,1.0,12.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,232204088.0,1.0,232204.0,23.0,2.0,2.0,4.0,88.0
1971,232204088002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232204088.0,2.0,232204.0,23.0,2.0,2.0,4.0,88.0
