,hhid,idind,wave,indbusimp,indbus,indfarmimp,indfarm,indfishimp,indfish,indgardimp,indgard,indlvstimp,indlvst,indret,indretimp,indwage,indwageimp,indinc,indincimp,commid,t1,urban,cpi1988,cpi2015,index_new,index_old,indinc_cpi
60320,211203121.0,211203121002.0,2009.0,,,,,,,,,,,,,7200.0,0.0,7200.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,9729.72972972973
60321,211203122.0,211203122001.0,2009.0,,,,,,,,,,,37800.0,0.0,,,37800.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,51081.08108108108
60322,211203122.0,211203122002.0,2009.0,,,,,,,,,,,11400.0,0.0,,,11400.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,15405.405405405405
60323,211203123.0,211203123001.0,2009.0,,,,,,,,,,,,,23288.0,0.0,23288.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,31470.27027027027
60324,211203123.0,211203123002.0,2009.0,,,,,,,,,,,,,23400.0,0.0,23400.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,31621.621621621623
60325,211204003.0,211204003001.0,2009.0,0.0,11760.0,,,,,,,,,,,,,11760.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,15891.891891891892
60326,211204003.0,211204003002.0,2009.0,,,,,,,,,,,9000.0,0.0,,,9000.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,12162.162162162162
60327,211204017.0,211204017001.0,2009.0,,,,,,,,,,,1380.0,0.0,6960.0,0.0,8340.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,11270.27027027027
60328,211204017.0,211204017002.0,2009.0,,,,,,,,,,,9600.0,0.0,12000.0,0.0,21600.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,29189.18918918919
60329,211204017.0,211204017005.0,2009.0,,,,,,,,,,,,,12000.0,0.0,12000.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,16216.216216216217
60330,211204070.0,211204070001.0,2009.0,,,,,,,,,,,15480.0,0.0,,,15480.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,20918.91891891892
60331,211204070.0,211204070002.0,2009.0,,,,,,,,,,,11160.0,0.0,,,11160.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,15081.081081081082
60332,211204072.0,211204072001.0,2009.0,,,,,,,,,,,23400.0,0.0,,,23400.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,31621.621621621623
60333,211204072.0,211204072002.0,2009.0,0.0,6840.0,,,,,,,,,,,,,6840.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,9243.243243243243
